Round: 1, Attack Type: NS Attack, Error: 0, Time: 0.05459713935852051, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: NS Attack, Error: 0, Time: 0.0438840389251709, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 5, Attack Type: NS Attack, Error: 0, Time: 0.0931389331817627, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 0.1573328971862793, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 0.22930216789245605, NFound: 10, Coef: 10
Round: 8, Attack Type: NS Attack, Error: 0, Time: 0.2747938632965088, NFound: 10, Coef: 10
Round: 9, Attack Type: NS Attack, Error: 0, Time: 0.4381392002105713, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 0.514031171798706, NFound: 10, Coef: 10
Round: 11, Attack Type: NS Attack, Error: 0, Time: 0.7440409660339355, NFound: 10, Coef: 10
Round: 12, Attack Type: NS Attack, Error: 0, Time: 0.9226479530334473, NFound: 10, Coef: 10
Round: 13, Attack Type: NS Attack, Error: 0, Time: 1.0410141944885254, NFound: 10, Coef: 10
Round: 14, Attack Type: NS Attack, Error: 0, Time: 1.3384699821472168, NFound: 10, Coef: 10
Round: 15, Attack Type: NS Attack, Error: 0, Time: 1.5105249881744385, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 0, Time: 1.8470659255981445, NFound: 10, Coef: 10
Round: 17, Attack Type: NS Attack, Error: 0, Time: 2.364145040512085, NFound: 10, Coef: 10
Round: 18, Attack Type: NS Attack, Error: 0, Time: 2.8034896850585938, NFound: 10, Coef: 10
Round: 19, Attack Type: NS Attack, Error: 0, Time: 3.1635239124298096, NFound: 10, Coef: 10
Round: 20, Attack Type: NS Attack, Error: 0, Time: 3.388231039047241, NFound: 10, Coef: 10
Round: 21, Attack Type: NS Attack, Error: 0, Time: 4.30022406578064, NFound: 10, Coef: 10
Round: 22, Attack Type: NS Attack, Error: 0, Time: 5.043797016143799, NFound: 10, Coef: 10
Round: 23, Attack Type: NS Attack, Error: 0, Time: 5.793592691421509, NFound: 10, Coef: 10
Round: 24, Attack Type: NS Attack, Error: 0, Time: 7.109877109527588, NFound: 10, Coef: 10
Round: 25, Attack Type: NS Attack, Error: 0, Time: 7.288944959640503, NFound: 10, Coef: 10
Round: 26, Attack Type: NS Attack, Error: 0, Time: 8.087954759597778, NFound: 10, Coef: 10
Round: 27, Attack Type: NS Attack, Error: 0, Time: 8.6366708278656, NFound: 10, Coef: 10
Round: 28, Attack Type: NS Attack, Error: 0, Time: 10.025320768356323, NFound: 10, Coef: 10
Round: 29, Attack Type: NS Attack, Error: 0, Time: 10.837898969650269, NFound: 10, Coef: 10
Round: 30, Attack Type: NS Attack, Error: 0, Time: 12.165138959884644, NFound: 10, Coef: 10
Round: 31, Attack Type: NS Attack, Error: 0, Time: 13.859177827835083, NFound: 10, Coef: 10
Round: 32, Attack Type: NS Attack, Error: 0, Time: 15.460660219192505, NFound: 10, Coef: 10
Round: 33, Attack Type: NS Attack, Error: 0, Time: 17.683677911758423, NFound: 10, Coef: 10
Round: 34, Attack Type: NS Attack, Error: 0, Time: 17.501036882400513, NFound: 10, Coef: 10
Round: 35, Attack Type: NS Attack, Error: 0, Time: 20.123685836791992, NFound: 10, Coef: 10
Round: 36, Attack Type: NS Attack, Error: 0, Time: 22.513808250427246, NFound: 10, Coef: 10
Round: 37, Attack Type: NS Attack, Error: 0, Time: 23.539175033569336, NFound: 10, Coef: 10
Round: 38, Attack Type: NS Attack, Error: 0, Time: 24.22738265991211, NFound: 10, Coef: 10
Round: 39, Attack Type: NS Attack, Error: 0, Time: 28.12764859199524, NFound: 10, Coef: 10
Round: 40, Attack Type: NS Attack, Error: 0, Time: 30.300142765045166, NFound: 10, Coef: 10
Round: 41, Attack Type: NS Attack, Error: 0, Time: 33.499799966812134, NFound: 10, Coef: 10
Round: 42, Attack Type: NS Attack, Error: 0, Time: 34.5872700214386, NFound: 10, Coef: 10
Round: 43, Attack Type: NS Attack, Error: 0, Time: 38.745081186294556, NFound: 10, Coef: 10
Round: 44, Attack Type: NS Attack, Error: 0, Time: 44.757731199264526, NFound: 10, Coef: 10
Round: 45, Attack Type: NS Attack, Error: 0, Time: 44.819782972335815, NFound: 10, Coef: 10
Round: 46, Attack Type: NS Attack, Error: 0, Time: 48.6235568523407, NFound: 10, Coef: 10
Round: 47, Attack Type: NS Attack, Error: 0, Time: 51.08188796043396, NFound: 10, Coef: 10
Round: 48, Attack Type: NS Attack, Error: 0, Time: 56.351057052612305, NFound: 10, Coef: 10
Round: 49, Attack Type: NS Attack, Error: 0, Time: 60.11759829521179, NFound: 10, Coef: 10
