Round: 1, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 2, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 4, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 5, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 7, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 8, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 9, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 10, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 11, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 12, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 13, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 14, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 15, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 16, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 17, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 18, Attack Type: Statistical Attack, Error: 0, Time: 0.18503880500793457, NFound: 7, Coef: 9
Round: 19, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 20, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 21, Attack Type: Statistical Attack, Error: 0, Time: 0.19125795364379883, NFound: 6, Coef: 7
Round: 22, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 23, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 24, Attack Type: Statistical Attack, Error: 0, Time: 0.2676699161529541, NFound: 6, Coef: 9
Round: 25, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 26, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 27, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 28, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
