Round: 1, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 2, Attack Type: NS Attack, Error: 0, Time: 0.024504899978637695, NFound: 10, Coef: 10
Round: 3, Attack Type: NS Attack, Error: 0, Time: 0.04291868209838867, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 0, Time: 0.06280088424682617, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 0.11149215698242188, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 0.1594829559326172, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 0.20566511154174805, NFound: 10, Coef: 10
Round: 8, Attack Type: NS Attack, Error: 0, Time: 0.30312585830688477, NFound: 10, Coef: 10
Round: 9, Attack Type: NS Attack, Error: 0, Time: 0.40399718284606934, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 0.5563557147979736, NFound: 10, Coef: 10
Round: 11, Attack Type: NS Attack, Error: 0, Time: 0.6937332153320312, NFound: 10, Coef: 10
Round: 12, Attack Type: NS Attack, Error: 0, Time: 0.8623132705688477, NFound: 10, Coef: 10
Round: 13, Attack Type: NS Attack, Error: 0, Time: 1.0647716522216797, NFound: 10, Coef: 10
Round: 14, Attack Type: NS Attack, Error: 0, Time: 1.5799298286437988, NFound: 10, Coef: 10
Round: 15, Attack Type: NS Attack, Error: 0, Time: 1.7806432247161865, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 0, Time: 2.092442035675049, NFound: 10, Coef: 10
Round: 17, Attack Type: NS Attack, Error: 0, Time: 2.5013859272003174, NFound: 10, Coef: 10
Round: 18, Attack Type: NS Attack, Error: 0, Time: 2.802100896835327, NFound: 10, Coef: 10
Round: 19, Attack Type: NS Attack, Error: 0, Time: 3.0237503051757812, NFound: 10, Coef: 10
Round: 20, Attack Type: NS Attack, Error: 0, Time: 4.389363050460815, NFound: 10, Coef: 10
Round: 21, Attack Type: NS Attack, Error: 0, Time: 4.769019842147827, NFound: 10, Coef: 10
Round: 22, Attack Type: NS Attack, Error: 0, Time: 5.652358293533325, NFound: 10, Coef: 10
Round: 23, Attack Type: NS Attack, Error: 0, Time: 6.60480809211731, NFound: 10, Coef: 10
Round: 24, Attack Type: NS Attack, Error: 0, Time: 6.396981954574585, NFound: 10, Coef: 10
Round: 25, Attack Type: NS Attack, Error: 0, Time: 7.195888996124268, NFound: 10, Coef: 10
Round: 26, Attack Type: NS Attack, Error: 0, Time: 8.024465799331665, NFound: 10, Coef: 10
Round: 27, Attack Type: NS Attack, Error: 0, Time: 8.443134069442749, NFound: 10, Coef: 10
Round: 28, Attack Type: NS Attack, Error: 0, Time: 10.525317907333374, NFound: 10, Coef: 10
Round: 29, Attack Type: NS Attack, Error: 0, Time: 11.250967025756836, NFound: 10, Coef: 10
Round: 30, Attack Type: NS Attack, Error: 0, Time: 12.144548892974854, NFound: 10, Coef: 10
Round: 31, Attack Type: NS Attack, Error: 0, Time: 13.982662916183472, NFound: 10, Coef: 10
Round: 32, Attack Type: NS Attack, Error: 0, Time: 14.12221908569336, NFound: 10, Coef: 10
Round: 33, Attack Type: NS Attack, Error: 0, Time: 14.834609031677246, NFound: 10, Coef: 10
Round: 34, Attack Type: NS Attack, Error: 0, Time: 16.415987968444824, NFound: 10, Coef: 10
Round: 35, Attack Type: NS Attack, Error: 0, Time: 16.760050773620605, NFound: 10, Coef: 10
Round: 36, Attack Type: NS Attack, Error: 0, Time: 20.378911018371582, NFound: 10, Coef: 10
Round: 37, Attack Type: NS Attack, Error: 0, Time: 22.451190948486328, NFound: 10, Coef: 10
Round: 38, Attack Type: NS Attack, Error: 0, Time: 24.4080331325531, NFound: 10, Coef: 10
Round: 39, Attack Type: NS Attack, Error: 0, Time: 28.433775901794434, NFound: 10, Coef: 10
Round: 40, Attack Type: NS Attack, Error: 0, Time: 28.085604667663574, NFound: 10, Coef: 10
Round: 41, Attack Type: NS Attack, Error: 0, Time: 33.41477608680725, NFound: 10, Coef: 10
Round: 42, Attack Type: NS Attack, Error: 0, Time: 33.57923102378845, NFound: 10, Coef: 10
Round: 43, Attack Type: NS Attack, Error: 0, Time: 38.97902512550354, NFound: 10, Coef: 10
Round: 44, Attack Type: NS Attack, Error: 0, Time: 38.29247689247131, NFound: 10, Coef: 10
Round: 45, Attack Type: NS Attack, Error: 0, Time: 38.80263710021973, NFound: 10, Coef: 10
Round: 46, Attack Type: NS Attack, Error: 0, Time: 47.20038104057312, NFound: 10, Coef: 10
Round: 47, Attack Type: NS Attack, Error: 0, Time: 51.71275520324707, NFound: 10, Coef: 10
Round: 48, Attack Type: NS Attack, Error: 0, Time: 52.86690902709961, NFound: 10, Coef: 10
Round: 49, Attack Type: NS Attack, Error: 0, Time: 57.46487879753113, NFound: 10, Coef: 10
