Round: 1, Attack Type: NS Attack, Error: 0, Time: 0.1207280158996582, NFound: 10, Coef: 10
Round: 1, Attack Type: Multi Attack, Error: 0, Time: 0.07499909400939941, NFound: 10, Coef: 10
Round: 1, Attack Type: Statistical Attack, Error: 0, Time: 0.05703401565551758, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 0, Time: 0.31491875648498535, NFound: 10, Coef: 10
Round: 2, Attack Type: Multi Attack, Error: 0, Time: 0.11049413681030273, NFound: 10, Coef: 10
Round: 2, Attack Type: Statistical Attack, Error: 0, Time: 0.07127118110656738, NFound: 10, Coef: 10
Round: 3, Attack Type: NS Attack, Error: 0, Time: 1.045867919921875, NFound: 10, Coef: 10
Round: 3, Attack Type: Multi Attack, Error: 0, Time: 0.1448960304260254, NFound: 10, Coef: 10
Round: 3, Attack Type: Statistical Attack, Error: 0, Time: 0.1793501377105713, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 0, Time: 1.4718992710113525, NFound: 10, Coef: 10
Round: 4, Attack Type: Multi Attack, Error: 0, Time: 0.14014577865600586, NFound: 10, Coef: 10
Round: 4, Attack Type: Statistical Attack, Error: 0, Time: 0.11206293106079102, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 2.476404905319214, NFound: 10, Coef: 10
Round: 5, Attack Type: Multi Attack, Error: 0, Time: 0.17401385307312012, NFound: 10, Coef: 10
Round: 5, Attack Type: Statistical Attack, Error: 0, Time: 0.13408112525939941, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 3.8979079723358154, NFound: 10, Coef: 10
Round: 6, Attack Type: Multi Attack, Error: 0, Time: 0.19791221618652344, NFound: 10, Coef: 10
Round: 6, Attack Type: Statistical Attack, Error: 0, Time: 0.16680216789245605, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 5.454157114028931, NFound: 10, Coef: 10
Round: 7, Attack Type: Multi Attack, Error: 0, Time: 0.2206118106842041, NFound: 10, Coef: 10
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.18424487113952637, NFound: 10, Coef: 10
Round: 8, Attack Type: NS Attack, Error: 0, Time: 7.927123069763184, NFound: 10, Coef: 10
Round: 8, Attack Type: Multi Attack, Error: 0, Time: 0.2600569725036621, NFound: 10, Coef: 10
Round: 8, Attack Type: Statistical Attack, Error: 0, Time: 0.22133111953735352, NFound: 10, Coef: 10
Round: 9, Attack Type: NS Attack, Error: 0, Time: 12.014203786849976, NFound: 10, Coef: 10
Round: 9, Attack Type: Multi Attack, Error: 0, Time: 0.2730429172515869, NFound: 10, Coef: 10
Round: 9, Attack Type: Statistical Attack, Error: 0, Time: 0.26964783668518066, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 14.22276520729065, NFound: 10, Coef: 10
Round: 10, Attack Type: Multi Attack, Error: 0, Time: 0.30550122261047363, NFound: 10, Coef: 10
Round: 10, Attack Type: Statistical Attack, Error: 0, Time: 0.31113696098327637, NFound: 10, Coef: 10
Round: 11, Attack Type: NS Attack, Error: 0, Time: 19.262200117111206, NFound: 10, Coef: 10
Round: 11, Attack Type: Multi Attack, Error: 0, Time: 0.35909390449523926, NFound: 10, Coef: 10
Round: 11, Attack Type: Statistical Attack, Error: 0, Time: 0.34759092330932617, NFound: 10, Coef: 10
Round: 12, Attack Type: NS Attack, Error: 0, Time: 24.914516925811768, NFound: 10, Coef: 10
Round: 12, Attack Type: Multi Attack, Error: 0, Time: 0.38252997398376465, NFound: 10, Coef: 10
Round: 12, Attack Type: Statistical Attack, Error: 0, Time: 0.3906221389770508, NFound: 10, Coef: 10
Round: 13, Attack Type: NS Attack, Error: 0, Time: 32.17540001869202, NFound: 10, Coef: 10
Round: 13, Attack Type: Multi Attack, Error: 0, Time: 0.6379609107971191, NFound: 10, Coef: 10
Round: 13, Attack Type: Statistical Attack, Error: 0, Time: 0.4277303218841553, NFound: 10, Coef: 10
Round: 14, Attack Type: NS Attack, Error: 0, Time: 39.314302921295166, NFound: 10, Coef: 10
Round: 14, Attack Type: Multi Attack, Error: 0, Time: 0.46683812141418457, NFound: 10, Coef: 10
Round: 14, Attack Type: Statistical Attack, Error: 0, Time: 0.46726298332214355, NFound: 10, Coef: 10
Round: 15, Attack Type: NS Attack, Error: 0, Time: 50.59738492965698, NFound: 10, Coef: 10
Round: 15, Attack Type: Multi Attack, Error: 0, Time: 0.5273680686950684, NFound: 10, Coef: 10
Round: 15, Attack Type: Statistical Attack, Error: 0, Time: 0.5534090995788574, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 0, Time: 61.474677085876465, NFound: 10, Coef: 10
Round: 16, Attack Type: Multi Attack, Error: 0, Time: 0.5799319744110107, NFound: 10, Coef: 10
Round: 16, Attack Type: Statistical Attack, Error: 0, Time: 0.5761239528656006, NFound: 10, Coef: 10
