Round: 1, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 4, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 5, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 6, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 7, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 8, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 9, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 10, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 11, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 12, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 13, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 14, Attack Type: Statistical Attack, Error: 0, Time: 0.12881994247436523, NFound: 4, Coef: 8
Round: 15, Attack Type: Statistical Attack, Error: 0, Time: 0.12076997756958008, NFound: 2, Coef: 7
Round: 16, Attack Type: Statistical Attack, Error: 0, Time: 0.12215018272399902, NFound: 4, Coef: 7
Round: 17, Attack Type: Statistical Attack, Error: 0, Time: 0.15456700325012207, NFound: 8, Coef: 8
Round: 18, Attack Type: Statistical Attack, Error: 0, Time: 0.15665698051452637, NFound: 3, Coef: 6
Round: 19, Attack Type: Statistical Attack, Error: 0, Time: 0.3195209503173828, NFound: 4, Coef: 8
Round: 20, Attack Type: Statistical Attack, Error: 0, Time: 0.1894829273223877, NFound: 9, Coef: 8
Round: 22, Attack Type: Statistical Attack, Error: 0, Time: 0.20683693885803223, NFound: 6, Coef: 8
Round: 23, Attack Type: Statistical Attack, Error: 0, Time: 0.20694804191589355, NFound: 4, Coef: 8
Round: 24, Attack Type: Statistical Attack, Error: 0, Time: 0.26494407653808594, NFound: 1, Coef: 7
Round: 25, Attack Type: Statistical Attack, Error: 0, Time: 0.2146470546722412, NFound: 1, Coef: 8
Round: 26, Attack Type: Statistical Attack, Error: 0, Time: 0.2456810474395752, NFound: 4, Coef: 6
Round: 27, Attack Type: Statistical Attack, Error: 0, Time: 0.2316570281982422, NFound: 2, Coef: 8
Round: 28, Attack Type: Statistical Attack, Error: 0, Time: 0.2535266876220703, NFound: 9, Coef: 9
Round: 29, Attack Type: Statistical Attack, Error: 0, Time: 0.2786381244659424, NFound: 1, Coef: 7
Round: 30, Attack Type: Statistical Attack, Error: 0, Time: 0.28720903396606445, NFound: 1, Coef: 8
Round: 31, Attack Type: Statistical Attack, Error: 0, Time: 0.3087630271911621, NFound: 1, Coef: 6
Round: 32, Attack Type: Statistical Attack, Error: 0, Time: 0.309298038482666, NFound: 2, Coef: 7
Round: 33, Attack Type: Statistical Attack, Error: 0, Time: 0.481334924697876, NFound: 3, Coef: 8
Round: 34, Attack Type: Statistical Attack, Error: 0, Time: 0.33878397941589355, NFound: 2, Coef: 8
Round: 35, Attack Type: Statistical Attack, Error: 0, Time: 0.32850003242492676, NFound: 2, Coef: 8
Round: 36, Attack Type: Statistical Attack, Error: 0, Time: 0.3422858715057373, NFound: 1, Coef: 8
Round: 37, Attack Type: Statistical Attack, Error: 0, Time: 0.36391401290893555, NFound: 2, Coef: 8
Round: 38, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 39, Attack Type: Statistical Attack, Error: 0, Time: 0.4162740707397461, NFound: 2, Coef: 8
Round: 40, Attack Type: Statistical Attack, Error: 0, Time: 0.42029500007629395, NFound: 1, Coef: 8
Round: 41, Attack Type: Statistical Attack, Error: 0, Time: 0.44966721534729004, NFound: 1, Coef: 6
Round: 42, Attack Type: Statistical Attack, Error: 0, Time: 0.43575191497802734, NFound: 1, Coef: 6
Round: 43, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 44, Attack Type: Statistical Attack, Error: 0, Time: 0.4676628112792969, NFound: 1, Coef: 8
Round: 45, Attack Type: Statistical Attack, Error: 0, Time: 0.49349021911621094, NFound: 1, Coef: 8
Round: 46, Attack Type: Statistical Attack, Error: 0, Time: 0.5081791877746582, NFound: 1, Coef: 8
Round: 47, Attack Type: Statistical Attack, Error: 0, Time: 0.5277559757232666, NFound: 1, Coef: 8
Round: 48, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 49, Attack Type: Statistical Attack, Error: 0, Time: 0.5389108657836914, NFound: 1, Coef: 8
